,L2,P2,X2,dL2dt,dP2dt,dX2dt,F200,P100,F3,F2,F4,F5,T2,T3,F100,T100,Q100,T201,Q200
0.0,1.0,50.5,25.0,-4.015064935056886e-05,0.0002965283504038921,0.0,208.0,194.7,50.0,2.0,8.000803012987012,7.999616899585396,84.60579999999999,80.6035,9.26926163934426,119.94486,339.25497599999994,46.15283314794215,307.98525063403775
0.155051,0.9999938539292241,50.500045762444095,25.000001154694186,-3.980203921575639e-05,0.00029395080376871913,-1.1546941865271171e-07,208.0,194.7,50.0,2.0,8.000796040784316,7.999620237569241,84.605826061146,80.60352320155916,9.269254803633835,119.94486,339.25472581299834,46.15284197434174,307.98537914641577
0.644949,0.9999747503672417,50.50018783954886,25.0000046334917,-3.7183647322520435e-05,0.00028595060152512364,3.79496002979398e-05,208.0,194.7,50.0,1.9999692696461215,8.00077440330033,7.999630600894229,84.60590693912013,80.60359523465128,9.269233589738985,119.94486,339.2539493844468,46.152869377364546,307.98577813442785
1.0,0.9999624600831816,50.500288265190534,25.00003653373163,-3.151993621601537e-05,0.000279680197847178,0.00015415706219268493,208.0,194.7,50.0,1.9998737518362082,8.000756646888112,7.999637926096723,84.60597331017551,80.60364615045161,9.26921618093757,119.94486,339.25331222231506,46.15288874689037,307.9860601547239
1.155051,0.9999581216932399,50.500331373974895,25.000072850867618,-2.7971657293071558e-05,0.0002765155528636668,0.00022734007705767388,208.0,194.7,50.0,1.9998123004159074,8.000747132729954,7.999641070518498,84.60600887280552,80.60366800660528,9.26920685303462,119.94486,339.2529708210671,46.15289706146718,307.9861812149622
1.644949,0.9999448747992218,50.50046446196364,25.0001841284095,-2.5421950699765666e-05,0.00026676309610221586,0.00024332850404617612,208.0,194.7,50.0,1.9997906084662003,8.000717830547794,7.999650778163385,84.60611840037959,80.60373548221557,9.269178124490594,119.94486,339.2519193563558,46.15292273072049,307.98655495929034
2.0,0.9999365698235175,50.50055789264051,25.00028195661222,-2.0999275023435347e-05,0.00025950459052342625,0.00031634072937121736,208.0,194.7,50.0,1.9997243739961084,8.00069561150436,7.999657593142265,84.6062014521439,80.60378285156874,9.269156340421272,119.94486,339.25112205941855,46.15294075109733,307.9868173359772
2.155051,0.999933699721012,50.50059785645914,25.000339096742707,-1.8383877124706834e-05,0.00025608006488959224,0.00036253430598636355,208.0,194.7,50.0,1.9996828491175875,8.000684828424907,7.999660508165349,84.60624175782922,80.60380311322479,9.269145768438232,119.94486,339.25073512483937,46.152948459091064,307.98692956436594
2.644949,0.9999251687831301,50.50072073251652,25.000514225343693,-1.601096232530221e-05,0.0002455624263412986,0.0003629627326264324,208.0,194.7,50.0,1.9996684986050604,8.000651720641445,7.99966947093608,84.60636551022372,80.60386541138588,9.269113308793777,119.94486,339.2495471018523,46.15297215872521,307.9872746310391
3.0,0.9999200370099164,50.5008065682685,25.000649183216588,-1.2669072204837333e-05,0.00023795139977961143,0.0004027889285716644,208.0,194.7,50.0,1.99962584391565,8.000627537528446,7.999675731929328,84.6064559034131,80.60390893011214,9.269089599104763,119.94486,339.2486793272343,46.1529887142362,307.9875156792791
3.155051,0.9999183264410211,50.500843191193596,25.00071634245339,-1.0830177543950637e-05,0.0002345038097136218,0.00042814876290510226,208.0,194.7,50.0,1.9996001850495815,8.000616418501297,7.999678403262442,84.60649746482524,80.60392749793516,9.269078697750754,119.94486,339.2482803376776,46.15299577785742,307.98761852560403
3.644949,0.9999134853569775,50.50095547547928,25.00092220798199,-8.698187376613973e-06,0.00022393452238917783,0.00041825777542105034,208.0,194.7,50.0,1.9995916322051053,8.000582331542427,7.99968659345287,84.60662487724434,80.603984426068,9.26904527809985,119.94486,339.24705717845444,46.15301743461095,307.9879338479355
4.0,0.9999108060505931,50.5010336465107,25.001072852511786,-6.27074622038067e-06,0.0002164231925098044,0.00043345447207410594,208.0,194.7,50.0,1.9995674267848882,8.00055798813952,7.9996922953694805,84.60671586957558,80.60402405878092,9.269021411258862,119.94486,339.2461836520744,46.153032511794294,307.988153371725
4.155051,0.9999099834859482,50.50106694442506,25.00114219953369,-5.0607984893406316e-06,0.00021311538642013463,0.0004432676997459558,208.0,194.7,50.0,1.9995540302529655,8.00054718571682,7.99969472417114,84.60675624756334,80.60404094082351,9.269010820311255,119.94486,339.2457960233919,46.15303893410638,307.9882468805889
4.644949,0.999907938538834,50.50116885230634,25.001354796936916,-3.2006106161919714e-06,0.0002029843230221145,0.00042715400765640867,208.0,194.7,50.0,1.999549917429741,8.000514094782583,7.9997021574904945,84.60687993697772,80.60409260811932,9.26897837718617,119.94486,339.2446086050138,46.15305858951813,307.98853306338407
5.0,0.9999070913271836,50.50123965442322,25.001505814356427,-1.526002024592606e-06,0.00019587635982647555,0.00042483735351212784,208.0,194.7,50.0,1.9995396926941702,8.00049082734632,7.999707321907015,84.6069669074919,80.60412850479257,9.268955565248024,119.94486,339.24377368807774,46.1530722454272,307.9887318934201
5.155051,0.9999069249498524,50.50126978701801,25.001571950491588,-8.112832715414715e-07,0.00019281230104245927,0.00042352066790320603,208.0,194.7,50.0,1.9995354566359174,8.000480769029513,7.999709519825343,84.60700450411298,80.60414378201813,9.268945703839218,119.94486,339.24341276051535,46.15307805723047,307.9888165132757
5.644949,0.9999069198282141,50.50136192918704,25.001774729736432,7.704397508648392e-07,0.00018343140931548685,0.0004042873855446923,208.0,194.7,50.0,1.9995346247492616,8.00044996645572,7.999716240818459,84.60711963994704,80.60419049809782,9.26891550427618,119.94486,339.2423074565082,46.15309582908726,307.9890752715106
6.0,0.9999073854672297,50.50142589261194,25.00191577792781,1.8420309365261062e-06,0.00017691345751223343,0.0003902178611153831,208.0,194.7,50.0,1.9995345991410707,8.000428560240199,7.99972090641015,84.6071996534711,80.60422292755426,9.268894517122334,119.94486,339.2415393266774,46.15310816598838,307.9892548967908
6.155051,0.9999076827488197,50.50145310956165,25.001975241514273,2.178732309636227e-06,0.0001741515902173794,0.0003813624124054443,208.0,194.7,50.0,1.999536927336148,8.00041949801766,7.99972289165679,84.60723352682719,80.60423672654775,9.26888563230762,119.94486,339.2412141424589,46.153113415438625,307.9893313287864
6.644949,0.9999090946453385,50.50153633527323,25.002157589006668,3.4921213576738713e-06,0.0001656953897792429,0.00036127371488172213,208.0,194.7,50.0,1.9995384137440986,8.000391743828748,7.999728962269632,84.60733726821293,80.60427892198354,9.268858421452345,119.94486,339.24021822515584,46.15312946753989,307.98956504738084
7.0,0.9999104501594208,50.50159412308512,25.00228224773935,4.094531820854119e-06,0.00015986468359619347,0.00033998555983438757,208.0,194.7,50.0,1.9995454732266924,8.000372636136891,7.999733177402507,84.60740869016793,80.60430822040416,9.268839687824803,119.94486,339.23953257438785,46.153140613323934,307.9897273299965
7.155051,0.9999110554829689,50.501618722705466,25.00233307482876,4.152988440216993e-06,0.0001574294242546736,0.0003264312523638707,208.0,194.7,50.0,1.9995522507971042,8.000364689434091,7.999734971737073,84.60743839386286,80.60432069241168,9.26883189669171,119.94486,339.2392474189166,46.15314535795861,307.9897964118773
7.644949,0.9999133853469191,50.50169400061366,25.002488967348892,5.219038296987715e-06,0.00014996979861018193,0.0003070618415542973,208.0,194.7,50.0,1.999555277414845,8.000340341819214,7.999740462624774,84.60752940193788,80.60435885831113,9.26880802572121,119.94486,339.2383737413963,46.153159877132815,307.9900078110538
8.0,0.9999152956113814,50.501746332694005,25.002593817415764,5.468141167396104e-06,0.00014485765848842812,0.0002820160058289233,208.0,194.7,50.0,1.999566926734595,8.000323710442057,7.999744279808104,84.60759156776511,80.60438539067586,9.268791719930459,119.94486,339.2377769494548,46.153169970646424,307.99015477261196
8.155051,0.9999160866951528,50.501768631270146,25.00263516403716,5.330981145974384e-06,0.00014274900481132109,0.0002659418276403763,208.0,194.7,50.0,1.9995764780569067,8.000316902320174,7.999745906300929,84.60761701559933,80.60439669605397,9.268785045088693,119.94486,339.23753265024624,46.1531742714688,307.99021739258575
8.644949,0.9999189460357284,50.50183696212021,25.002762011227087,6.176948489520742e-06,0.00013628427376038602,0.0002483149749591308,208.0,194.7,50.0,1.9995804334757636,8.000296027554445,7.999750890459404,84.6076950426363,80.60443133979494,9.268764578980644,119.94486,339.2367835906916,46.153187450734,307.99040928268704
9.0,0.999921153392147,50.50188456045513,25.00284584996666,6.170261284904694e-06,0.00013187555991962086,0.0002220599468876897,208.0,194.7,50.0,1.9995947301786414,8.000281864595662,7.999754362355983,84.60774798185118,80.60445547215075,9.268750693284938,119.94486,339.2362753742288,46.153196631229754,307.99054295070533
9.155051,0.9999220370897921,50.50190487044345,25.00287767623561,5.904079719775422e-06,0.00013007691168816858,0.00020508039927228473,208.0,194.7,50.0,1.9996057669607352,8.000276151444869,7.999755843798116,84.60776933683229,80.60446576931483,9.268745091978415,119.94486,339.23607036641005,46.15320054850463,307.99059998622744
9.644949,0.9999251331401993,50.50196722602852,25.002975352548624,6.560026573325139e-06,0.0001245554770256679,0.00018979092572267396,208.0,194.7,50.0,1.9996101854489605,8.000258614019573,7.999760392111471,84.60783488934432,80.60449738359647,9.2687278978769,119.94486,339.23544106229457,46.15321257529475,307.99077509629166
10.0,0.9999274462288121,50.502010777415656,25.003038543614572,6.377421060188572e-06,0.0001208042651042269,0.0001641203838522979,208.0,194.7,50.0,1.999625665700996,8.0002467858778,7.999763568817384,84.60787910133055,80.60451946414975,9.268716301290345,119.94486,339.2350166272267,46.15322097523828,307.9908973994693
10.155051,0.9999283541295366,50.502029392827765,25.003061356604384,6.034386942146623e-06,0.00011928861565016285,0.0001473809377269713,208.0,194.7,50.0,1.9996372311440611,8.000242081117095,7.999764926654494,84.6078966870866,80.60452890216368,9.268711688633026,119.94486,339.23484780396876,46.153224565672936,307.990949676198
10.644949,0.9999314746872552,50.50208667602013,25.0031314132922,6.530685271455365e-06,0.00011462766681306716,0.0001347014493837167,208.0,194.7,50.0,1.9996417706476837,8.000227615646887,7.9997691049796344,84.60795075704804,80.6045579447422,9.268697506348055,119.94486,339.2343287323388,46.15323561412884,307.99111054171595
11.0,0.9999337573416686,50.50212680857325,25.0031753621003,6.23580745790141e-06,0.00011146952602254193,0.00011080139279503518,208.0,194.7,50.0,1.9996573734362761,8.000217910414566,7.999772032310476,84.6079870338873,80.60457829194664,9.268687991111527,119.94486,339.2339804746819,46.15324335466712,307.99122324395336
11.155051,0.999934641468581,50.50214399601292,25.003190012264977,5.855521397469195e-06,0.000110204218662904,9.506821679747445e-05,208.0,194.7,50.0,1.9996687867083425,8.000214102863708,7.999773285989057,84.60800126599489,80.60458700597856,9.268684258099704,119.94486,339.2338438464492,46.1532466696826,307.9912715105787
11.644949,0.9999376403217883,50.50219701722699,25.003235053452585,6.221142743957776e-06,0.00010630409083559731,8.503833569565618e-05,208.0,194.7,50.0,1.9996732073429053,8.000202369802215,7.999777153438873,84.60804512258395,80.60461388773409,9.268672754732078,119.94486,339.2334228231941,46.1532568961124,307.9914204073966
12.0,0.999939801096376,50.502234287496535,25.00326179581642,5.863239386465436e-06,0.00010366540325728986,6.361925831483022e-05,208.0,194.7,50.0,1.999688201608942,8.000194533603329,7.9997798719903,84.60807441323027,80.60463278376074,9.268665071939601,119.94486,339.2331416329894,46.15326408458973,307.99152507162654
12.155051,0.9999406299001652,50.502250281510634,25.003269320584838,5.474662821840161e-06,0.00010261566078001829,4.936029154428971e-05,208.0,194.7,50.0,1.9996990054818802,8.000191501261684,7.999781038618563,84.60808574771119,80.6046408927259,9.268662098961,119.94486,339.23303282197264,46.15326716942408,307.9915699868147
12.644949,0.9999434134268154,50.50229974757234,25.00329252389148,5.736091728338501e-06,9.937047864259408e-05,4.185960418774541e-05,208.0,194.7,50.0,1.9997031495008257,8.000182128664607,7.999784646750036,84.6081207812051,80.60466597201918,9.26865290984784,119.94486,339.23269650043096,46.15327671015634,307.99170889987636
13.0,0.9999453961103434,50.502334635557794,25.00330441335657,5.35201567083228e-06,9.71752546376141e-05,2.3271493104321265e-05,208.0,194.7,50.0,1.9997170671340765,8.000175892552507,7.999787191533956,84.60814409094452,80.6046836602278,9.268646795817832,119.94486,339.2324727269326,46.15328343915228,307.99180687405726
13.155051,0.9999461508764145,50.50234963716323,25.003305921060388,4.9753460371132005e-06,9.630668828836158e-05,1.0727333351894458e-05,208.0,194.7,50.0,1.999726980551717,8.00017351252754,7.999788285774388,84.60815298715434,80.60469126604175,9.268644462385748,119.94486,339.2323873233184,46.1532863325765,307.9918490023139
13.644949,0.9999486661517439,50.50239614919411,25.00331068182042,5.155974665228918e-06,9.361192259127505e-05,5.533409695672183e-06,208.0,194.7,50.0,1.999730754382073,8.000166126124622,7.999791678434257,84.60818059652446,80.60471484764142,9.268637220583745,119.94486,339.23212227336506,46.15329530355212,307.9919796197189
14.0,0.9999504414547598,50.50242905897963,25.00331016061512,4.7722049626014584e-06,9.178655420819343e-05,-1.013702909104177e-05,208.0,194.7,50.0,1.9997433307587196,8.000161225142028,7.999794078925196,84.60819891573125,80.60473153290268,9.2686324155459,119.94486,339.23194640898,46.15330165100412,307.99207203862005
14.155051,0.9999511131820291,50.50244323642491,25.003306747964917,4.4206144887917815e-06,9.106684657962158e-05,-2.089291933576476e-05,208.0,194.7,50.0,1.9997522072737988,8.000159380436425,7.999795113050107,84.60820581099006,80.60473872086743,9.268630606953428,119.94486,339.2318802144954,46.15330438546903,307.9921118524291
14.644949,0.9999533377422098,50.50248729395931,25.003296426259563,4.540496056236282e-06,8.882437338601819e-05,-2.405972569072437e-05,208.0,194.7,50.0,1.9997555659101456,8.00015362416873,7.999798326675186,84.60822732713629,80.60476105803737,9.268624963374085,119.94486,339.23167365949155,46.15331288303535,307.99223557699463
15.0,0.9999548962231,50.50251855813358,25.00328586517947,4.1750607332378645e-06,8.730073540161795e-05,-3.690907528598571e-05,208.0,194.7,50.0,1.9997666887110488,8.000149810074287,7.9998006071326815,84.60824158370292,80.60477690897373,9.268621223946777,119.94486,339.2315367964521,46.153318913091226,307.99232337460825
15.155051,0.9999554829888815,50.50253204913724,25.00327856189945,3.85625023275247e-06,8.670067309361548e-05,-4.592061543890502e-05,208.0,194.7,50.0,1.9997744811155003,8.000148393879844,7.999801591187469,84.60824687724524,80.60478374891258,9.268619835476658,119.94486,339.2314859784457,46.15332151515917,307.9923612607176
15.644949,0.999957416263056,50.502574058253025,25.00325631282105,3.932109115307672e-06,8.48218688943584e-05,-4.736372228546793e-05,208.0,194.7,50.0,1.999777414944407,8.000143942873287,7.99980465539771,84.60826351450277,80.60480504753428,9.268615471605832,119.94486,339.23132626077347,46.15332961763817,307.99247923281183
16.0,0.9999587624709757,50.50260394466386,25.003237906414444,3.5963396181519748e-06,8.353913333952462e-05,-5.760781500603458e-05,208.0,194.7,50.0,1.9997870813152798,8.000140991892357,7.999806835358999,84.60827454486838,80.60482019994458,9.26861257839518,119.94486,339.2312203692636,46.15333538195889,307.99256316132147
16.155051,0.9999592672659132,50.502616859536744,25.003227641254018,3.31388408719465e-06,8.303314336679869e-05,-6.499629401197926e-05,208.0,194.7,50.0,1.9997938123548782,8.000139909963378,7.999807777389911,84.60827858897184,80.60482674778513,9.26861151764673,119.94486,339.23118154587036,46.153337872906015,307.9925994295116
16.644949,0.9999609235962043,50.50265714327954,25.003196310686832,3.3592996007343594e-06,8.144048241414047e-05,-6.501893202243931e-05,208.0,194.7,50.0,1.999796336329566,8.000136477678419,7.999810715748763,84.6082914183865,80.60484717164272,9.268608152554362,119.94486,339.2310583834897,46.1533456426049,307.9927125563274
17.0,0.9999620713513824,50.50268586301542,25.003172015546596,3.05937771787203e-06,8.034596341369361e-05,-7.29430431953198e-05,208.0,194.7,50.0,1.9998046179810205,8.000134194464621,7.999812810610967,84.60829995272933,80.60486173254883,9.26860591403821,119.94486,339.23097645379846,46.15335118190399,307.9927932085222
17.155051,0.9999625003485445,50.50269828821751,25.003159598607642,2.8138590805917064e-06,7.99122842364172e-05,-7.887584707748908e-05,208.0,194.7,50.0,1.9998103567569117,8.000133366061476,7.999813716924531,84.6083030491877,80.60486803212628,9.26860510185241,119.94486,339.23094672779825,46.15335357840621,307.99282810159445
17.644949,0.9999639034590353,50.50273709802918,25.003121669015737,2.8395573722447403e-06,7.853983431988491e-05,-7.776481460082009e-05,208.0,194.7,50.0,1.9998125017427217,8.000130707109834,7.999816547772554,84.60831298798752,80.6048877087008,9.268602494954093,119.94486,339.2308513153198,46.153361063821656,307.9929370892433
18.0,0.9999648721560224,50.50276481381015,25.00309317460793,2.5778390434977246e-06,7.75891298077049e-05,-8.368616653767053e-05,208.0,194.7,50.0,1.9998195172951765,8.000128925923953,7.999818569404722,84.60831964581823,80.60490176060175,9.26860074863784,119.94486,339.230787400145,46.15336640948364,307.99301492208184
18.155051,0.9999652333667159,50.50277681561365,25.00307929168454,2.367774190321955e-06,7.720972528661844e-05,-8.835310137463925e-05,208.0,194.7,50.0,1.999824360780112,8.000128283736082,7.999819444834936,84.60832204622922,80.60490784551612,9.268600119021848,119.94486,339.2307643561996,46.153368724323144,307.993048626145
18.644949,0.9999664121100038,50.5028143428363,25.00303686471997,2.3819779805315305e-06,7.600286947208147e-05,-8.636861858097348e-05,208.0,194.7,50.0,1.9998261668335797,8.00012619360681,7.999822182128922,84.60832985884832,80.60492687181801,9.268598069810274,119.94486,339.23068935505603,46.15337596236012,307.99315401196344
19.0,0.9999672239117946,50.50284117723803,25.003005587844388,2.1580952775876218e-06,7.515951812791373e-05,-9.060923412342854e-05,208.0,194.7,50.0,1.9998320605500186,8.00012477754443,7.999824139471919,84.60833515189704,80.60494047685968,9.26859668146963,119.94486,339.2306385417885,46.1533811380267,307.9932293696688
19.155051,0.9990875751363003,50.50622476660504,25.00241493505872,2.4903888979844336e-05,-0.00010128527032205272,-3.662316655755971e-05,208.0,194.7,50.0,1.9998361195589733,7.99966580266143,8.000070943742719,84.61005073762475,80.60665595666875,9.268146691770557,119.94486,339.2141689188024,46.154033745473534,308.0027313340947
19.644949,1.0015560516868343,50.496917142945726,25.004935875126748,0.0001854357055904246,0.00036534475237185024,0.005210193789245714,208.0,194.7,50.0,1.9954378756815017,8.000853410206691,7.999392031197203,84.60561162204294,80.60193699147348,9.269311049955947,119.94486,339.2567844283877,46.152238544031064,307.9765932010923
20.0,0.9959938397441389,50.5190110715809,25.00453082347001,-0.03670012114670753,0.14418705979493956,-0.010180167938590643,230.03244934421582,212.5835532939891,50.270581022576096,2.0077802584341713,8.72622216449998,8.14947392532022,84.61789295321655,80.61313861329151,10.032570448101115,122.69535049661553,367.1920784005008,44.485123388913856,313.7547461248285
20.155051,0.990580476795775,50.54124938717221,25.009355527842573,-0.0351215453552602,0.14283389633733293,0.02411231875082888,230.03244934421582,212.5835532939891,50.270581022576096,1.9799691987206944,8.722461708384511,8.151126123035178,84.63189019383951,80.6244134392963,10.02888248383856,122.69535049661553,367.0570989084913,44.48907373916147,313.8183557368544
20.644949,0.9736293352810126,50.61022754783966,25.02393948555219,-0.03318660152064994,0.1386446961420982,0.056534446106100526,230.03244934421582,212.5835532939891,50.270581022576096,1.9529023839788755,8.710829646434124,8.15625086186573,84.67518727405036,80.6593853667547,10.017474657911176,122.69535049661553,366.6395724795491,44.5013268206934,314.01565818183064
21.0,0.9626074844675832,50.65884376372851,25.060267347775323,-0.028429516254279214,0.13514521013900327,0.15918724222156003,230.03244934421582,212.5835532939891,50.270581022576096,1.8681466764050634,8.70044364868052,8.159862808124508,84.7138462306245,80.68403378821036,10.007288875290634,122.69535049661553,366.2667728356372,44.50996286507753,314.15471811279355
